party,pollster,n_polls,mean_pp,q05_pp,q95_pp
PNV,ODEC,1,-0.07046429125861814,-0.2636469068659365,0.11275592875376805
PNV,Opina 360,2,-0.07991555768476759,-0.27159567184806654,0.0965128268546022
PNV,Sigma Dos,35,0.035771628214827815,-0.03249307435916108,0.10389743712230264
PNV,Simple Lógica,14,0.0,0.0,0.0
PNV,SocioMétrica,31,0.021242033795709925,-0.05446582766351168,0.09903813327213944
PNV,Sondaxe,2,-0.07953670319450357,-0.2756302498651389,0.10119346029028847
PNV,Sumar,1,0.0,0.0,0.0
PNV,Target Point,24,0.0,0.0,0.0
BNG,40dB,33,0.0,0.0,0.0
BNG,Ateneo del Dato,2,0.0,0.0,0.0
BNG,CIS,35,0.021571918046175496,-0.0358557145968982,0.08313433961654593
BNG,Celeste-Tel,12,0.017068305548130498,-0.06801825926848379,0.10935950053613146
BNG,Cluster17,2,0.0,0.0,0.0
BNG,DYM,18,0.0,0.0,0.0
BNG,Data10,3,-0.03568296917020546,-0.16255338223034063,0.07361308956931946
BNG,Demoscopia y Servicios,1,-0.0693021934882411,-0.21340477336078337,0.0435215051583296
BNG,EM-Analytics,163,0.11898983903951921,0.06923912670940124,0.16894212014088802
BNG,GAD3,11,0.003239379334765588,-0.09060050136765707,0.10423989512460931
BNG,GESOP,10,0.0,0.0,0.0
BNG,Hamalgama Métrica,20,0.006179915549228193,-0.06510669823794298,0.08328816924895328
BNG,InvyMark,18,0.0,0.0,0.0
BNG,Ipsos,4,-0.039040598083399415,-0.1494959454532736,0.06019760250459701
BNG,KeyData,23,-0.022681347621311295,-0.09752476153619308,0.053444014065898486
BNG,More in Common,3,0.0,0.0,0.0
BNG,NC Report,22,0.02885875838925103,-0.04554649202913881,0.11157580485451235
BNG,ODEC,1,-0.06998866903380231,-0.22405211987303478,0.04590874689221444
BNG,Opina 360,2,-0.06294708399683654,-0.21014344542210822,0.05342626416285697
BNG,Sigma Dos,35,0.03794830992101239,-0.01825354670420788,0.09637374854860756
BNG,Simple Lógica,14,0.0,0.0,0.0
BNG,SocioMétrica,31,0.05988452562908815,-0.004137294097624705,0.13165507724845038
BNG,Sondaxe,2,0.0059019099366255994,-0.1120377481312705,0.13173999142060336
BNG,Sumar,1,0.0,0.0,0.0
BNG,Target Point,24,0.0,0.0,0.0
CC,40dB,33,0.0,0.0,0.0
CC,Ateneo del Dato,2,0.0,0.0,0.0
CC,CIS,35,-0.017076006549910067,-0.06022172776727353,0.02498857207769509
