election,prov,enp_votes,periph_share,province
198910,04,2.8404309463738424,0.02339876694535409,Almería
198910,05,3.444390815024545,0.0,Ávila
198910,06,2.6565529864891757,0.0,Badajoz
198910,07,3.225541356835119,0.0,Baleares
198910,08,3.8533414761426763,0.30529406001970855,Barcelona
198910,09,3.1179851292591874,0.0,Burgos
198910,10,2.7222744944813897,0.0,Cáceres
198910,11,3.0599082467017014,0.1139281459706379,Cádiz
198910,12,3.2233349993866462,0.012851653060660276,Castellón
198910,13,2.637209919550037,0.0,Ciudad Real
198910,14,3.128947775079871,0.059008502438989446,Córdoba
198910,15,3.3638147117711776,0.0,La Coruña
198910,16,2.66428483725913,0.0,Cuenca
198910,17,3.0825879801461307,0.47248906248167305,Gerona
198910,18,2.9900531132544472,0.026624293437888948,Granada
198910,19,2.9712870926908517,0.0,Guadalajara
198910,20,6.056530369671533,0.6697695815892453,Guipúzcoa
198910,21,2.5196008501799816,0.050711866997167815,Huelva
198910,22,3.7930160947588587,0.12256755827545898,Huesca
198910,23,2.6934666452778617,0.024739426023350063,Jaén
198910,24,3.040131845924701,0.0,León
198910,25,3.4901211329496276,0.4206520485659215,Lérida
198910,26,2.890702741655649,0.0,Logroño
198910,27,2.971666083510479,0.0,Lugo
198910,28,3.663218124859903,0.0,Madrid
198910,29,3.004666706071408,0.05157220324971213,Málaga
198910,30,3.0692516311170417,0.0,Murcia
198910,31,4.22962986730462,0.1981438447579252,Navarra
198910,32,3.09152979057111,0.0,Orense
198910,33,3.571345369091319,0.0,Oviedo
198910,34,2.85049674966318,0.0,Palencia
198910,35,4.376164846525946,0.017943000586483675,Las Palmas
198910,36,3.363965952930709,0.0,Pontevedra
198910,37,3.0461462996299793,0.0,Salamanca
198910,38,3.9696812705719675,0.1859534114052953,Santa Cruz de Tenerife
198910,39,3.0320129552806345,0.0,Santander
198910,40,3.384644828919376,0.0,Segovia
198910,41,2.808781820342812,0.09061851282452163,Sevilla
198910,42,2.780412756917879,0.0,Soria
198910,43,3.7687192794528594,0.34267018500730534,Tarragona
